slug,title,name_zh_or_summary,category,supported_in,arguments,return_type,source_url,evidence_type,notes
addOrUpdateStructFieldV1,Add or update struct field,Updates a field of a struct or adds a new field.,"[""Struct""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<AnyType>"",""description"":""Expression to update struct field with""},{""name"":""Locator"",""type"":""StructLocator"",""description"":""Locate inner elements with multiple entries like ['author', 'email'].""},{""name"":""Struct"",""type"":""Expression<Struct>"",""description"":""The struct to update""}]",Struct,https://palantir.com/docs/foundry/pb-functions-expression/addOrUpdateStructFieldV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
UnhexV1,Convert from hexadecimal,Inverse of hex. Interprets each pair of characters as a hexadecimal number and converts to the byte representation of...,"[""Numeric"",""String""]","[""Batch"",""Faster""]","[{""name"":""Expression"",""type"":""Expression<String>"",""description"":""String column to unhex""}]",Binary,https://palantir.com/docs/foundry/pb-functions-expression/UnhexV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
addOrUpdateMapEntryV1,Add or update map,Updates a value by key in a map or adds new key value pair.,"[""Map""]","[""Batch"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<V>"",""description"":""Expression to set as value for the key""},{""name"":""Key"",""type"":""Expression<K>"",""description"":""Key to add or update""},{""name"":""Map"",""type"":""Expression<Map<K, V>>"",""description"":""Map expression""}]","Map<K, V>",https://palantir.com/docs/foundry/pb-functions-expression/addOrUpdateMapEntryV1/,线索,"[""type_variable_bounds: K accepts AnyType**V accepts AnyType"",""parse_warning: args_missing_but_heading_present""]"
HexV1,Convert to hexadecimal,Computes hex value of given expression.,"[""Numeric"",""String""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<Binary | Byte | Integer | Long | Short | String>"",""description"":""Column to hex""}]",String,https://palantir.com/docs/foundry/pb-functions-expression/HexV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
UnhexToStringV1,Convert from hexadecimal to string,"Inverse of hex, interprets each pair of characters as a hexadecimal number and converts to the utf-8 string...","[""String""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<String>"",""description"":""String column to unhex""}]",String,https://palantir.com/docs/foundry/pb-functions-expression/UnhexToStringV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
addV2,Add numbers,Calculates the sum of all input columns.,"[""Numeric""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expressions"",""type"":""List<Expression<Numeric>>"",""description"":""List of columns to be added""}]",Numeric,https://palantir.com/docs/foundry/pb-functions-expression/addV2/,线索,"[""parse_warning: args_missing_but_heading_present""]"
andV1,And,Returns true if all of the specified conditions are true. Nulls are considered false.,"[""Boolean""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Conditions"",""type"":""List<Expression<Boolean>>"",""description"":""List of conditions from which the output is calculated""}]",Boolean,https://palantir.com/docs/foundry/pb-functions-expression/andV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
allOfV1,All of,Calculate the boolean 'and' of an aggregate. Nulls are considered false.,"[""Aggregate""]","[""Batch"",""Faster""]","[{""name"":""Expression"",""type"":""Expression<Boolean>"",""description"":""The column on which to compute 'all'""}]",Boolean,https://palantir.com/docs/foundry/pb-functions-expression/allOfV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
absV1,Absolute value,Returns the absolute value.,"[""Numeric""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<T>"",""description"":""Compute absolute value of this expression""}]",T,https://palantir.com/docs/foundry/pb-functions-expression/absV1/,线索,"[""type_variable_bounds: T accepts Numeric"",""parse_warning: args_missing_but_heading_present""]"
approxMedianV1,Approximate median,Computes approximate median of values in the column.,"[""Aggregate""]","[""Batch""]","[{""name"":""Expression"",""type"":""Expression<Numeric>"",""description"":""The column on which to compute the approximate median""}]",Numeric,https://palantir.com/docs/foundry/pb-functions-expression/approxMedianV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
anyArrayElementSatisfyV1,Any array element satisfy,Return true if the expression is true for any element in the array.,"[""Array""]","[""Batch"",""Streaming""]","[{""name"":""Array"",""type"":""Expression<Array<AnyType>>"",""description"":""Array expression""},{""name"":""Boolean condition"",""type"":""Expression<Boolean>"",""description"":""The expression to apply once per element of the array""}]",Boolean,https://palantir.com/docs/foundry/pb-functions-expression/anyArrayElementSatisfyV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
allArrayElementsSatisfyV1,All array elements satisfy,Return true if the expression is true for all elements in the array.,"[""Array""]","[""Batch"",""Streaming""]","[{""name"":""Array"",""type"":""Expression<Array<AnyType>>"",""description"":""Array expression""},{""name"":""Boolean condition"",""type"":""Expression<Boolean>"",""description"":""The expression to apply once per element of the array""}]",Boolean,https://palantir.com/docs/foundry/pb-functions-expression/allArrayElementsSatisfyV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
arcsinV1,Arcsin,Inverse sine function.,"[""Numeric""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Angle unit"",""type"":""Enum<Degrees, Radians>"",""description"":""Output angle unit which is either degrees or radians""},{""name"":""Value"",""type"":""Expression<Double | Float>"",""description"":""The value to compute arcsin on""}]",Double,https://palantir.com/docs/foundry/pb-functions-expression/arcsinV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
arccosV1,Arccos,Inverse cosine function.,"[""Numeric""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Angle unit"",""type"":""Enum<Degrees, Radians>"",""description"":""Output angle unit which is either degrees or radians""},{""name"":""Value"",""type"":""Expression<Double | Float>"",""description"":""The value to compute arccos on""}]",Double,https://palantir.com/docs/foundry/pb-functions-expression/arccosV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
arctan2V1,Arctan2,"Returns the angle θ between the ray from the origin to the point (x, y) and the positive x-axis, confined to...","[""Numeric""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Angle unit"",""type"":""Enum<Degrees, Radians>"",""description"":""Output angle unit which is either degrees or radians""},{""name"":""X"",""type"":""Expression<Double | Float>"",""description"":""X coordinate value""},{""name"":""Y"",""type"":""Expression<Double | Float>"",""description"":""Y coordinate value""}]",Double,https://palantir.com/docs/foundry/pb-functions-expression/arctan2V1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
anyOfV1,Any of,Calculate the boolean 'or' of an aggregate. Nulls are considered false.,"[""Aggregate""]","[""Batch"",""Faster""]","[{""name"":""Expression"",""type"":""Expression<Boolean>"",""description"":""The column on which to compute 'any'""}]",Boolean,https://palantir.com/docs/foundry/pb-functions-expression/anyOfV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
arctanV1,Arctan,Inverse tangent function.,"[""Numeric""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Angle unit"",""type"":""Enum<Degrees, Radians>"",""description"":""Output angle unit which is either degrees or radians""},{""name"":""Value"",""type"":""Expression<Double | Float>"",""description"":""The value to compute arctan on""}]",Double,https://palantir.com/docs/foundry/pb-functions-expression/arctanV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
areaV1,Area,Calculates area of a geometry in meters squared using a spherical approximation of the globe. For a line string or a...,"[""Geospatial""]","[""Batch"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<Geometry>"",""description"":""GeoJSON string""}]",Double,https://palantir.com/docs/foundry/pb-functions-expression/areaV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
arrayAddV1,Array add,Adds a value to the array at a specified index.,"[""Array""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Array"",""type"":""Expression<Array<T>>"",""description"":""The array to add an element to""},{""name"":""Index"",""type"":""Expression<Integer>"",""description"":""Position where the new element should be inserted into the array. First element is at position 1""},{""name"":""Value"",""type"":""Expression<T>"",""description"":""The element to add to the array""}]",Array<T>,https://palantir.com/docs/foundry/pb-functions-expression/arrayAddV1/,线索,"[""type_variable_bounds: T accepts AnyType"",""parse_warning: args_missing_but_heading_present""]"
arrayConcatV1,Array concat,"Concatenates the provided arrays into a single array, without de-duplication.","[""Array""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expressions"",""type"":""List<Expression<Array<T>>>"",""description"":""A list of arrays to concatenate""}]",Array<T>,https://palantir.com/docs/foundry/pb-functions-expression/arrayConcatV1/,线索,"[""type_variable_bounds: T accepts AnyType"",""parse_warning: args_missing_but_heading_present""]"
approximatePercentileV1,Approximate percentile,Returns the approximate percentile of the expression which is the smallest value in the ordered expression values (sorted from...,"[""Aggregate""]","[""Batch""]","[{""name"":""Expression"",""type"":""Expression<Numeric>"",""description"":""Input expression""},{""name"":""Percentiles"",""type"":""List<Literal<Double>> optional"",""description"":""Percentiles to calculate, if a single value is given, the output will be a double, if more than one value is provided, the output will be an array of doubles representing each percentile. Must range between 0 and 1""},{""name"":""Accuracy"",""type"":""Literal<Integer>"",""description"":""The accuracy parameter (default: 10000) is a positive integer which controls approximation accuracy at the cost of memory. Higher value of accuracy yields better accuracy, 1.0/accuracy is the relative error of the approximation""}]",Array<Numeric> | Byte | Decimal | Double | Float | Integer | Long | Short,https://palantir.com/docs/foundry/pb-functions-expression/approximatePercentileV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
arrayContainsNullV1,Array contains null,Returns true if the array contains null.,"[""Array"",""Boolean""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<Array<ComparableType>>"",""description"":""An array that could contain null values""}]",Boolean,https://palantir.com/docs/foundry/pb-functions-expression/arrayContainsNullV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
arrayContainsV1,Array contains,Returns true if the array contains the value.,"[""Array"",""Boolean""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Array"",""type"":""Expression<Array<ComparableType>>"",""description"":""The array to search within""},{""name"":""Value"",""type"":""Expression<ComparableType>"",""description"":""The value to search for within the array""}]",Boolean,https://palantir.com/docs/foundry/pb-functions-expression/arrayContainsV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
arrayDifferenceV1,Array difference,Returns all unique elements in the left array that are not in the right array.,"[""Array""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Left array"",""type"":""Expression<Array<T>>"",""description"":""no description""},{""name"":""Right array"",""type"":""Expression<Array<T>>"",""description"":""no description""}]",Array<T>,https://palantir.com/docs/foundry/pb-functions-expression/arrayDifferenceV1/,线索,"[""type_variable_bounds: T accepts AnyType"",""parse_warning: args_missing_but_heading_present""]"
arrayDistinctV1,Array distinct,Removes duplicates and returns distinct values from the array.,"[""Array""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<Array<T>>"",""description"":""Input array from which to remove duplicates""}]",Array<T>,https://palantir.com/docs/foundry/pb-functions-expression/arrayDistinctV1/,线索,"[""type_variable_bounds: T accepts ComparableType"",""parse_warning: args_missing_but_heading_present""]"
arrayElementV1,Array element,Returns the element at a given position from the input array. Positions outside of the array will return...,"[""Array""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Array"",""type"":""Expression<Array<T>>"",""description"":""Array from which to extract element""},{""name"":""Position"",""type"":""Expression<Integer>"",""description"":""Position of element to extract from array. First element is at position 1. If position is negative, accesses elements from last to first (example: -1 will return last element)""}]",T,https://palantir.com/docs/foundry/pb-functions-expression/arrayElementV1/,线索,"[""type_variable_bounds: T accepts AnyType"",""parse_warning: args_missing_but_heading_present""]"
arrayFlattenV2,Array flatten,Creates a single array from an input nested array by unioning the elements within the first level of nesting...,"[""Array""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<Array<Array<T>>>"",""description"":""Nested array to flatten""}]",Array<T>,https://palantir.com/docs/foundry/pb-functions-expression/arrayFlattenV2/,线索,"[""type_variable_bounds: T accepts AnyType"",""parse_warning: args_missing_but_heading_present""]"
arrayIntersectV1,Array intersect,Removes duplicates and intersects a list of arrays.,"[""Array""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expressions"",""type"":""List<Expression<Array<T>>>"",""description"":""A list of arrays to intersect""}]",Array<T>,https://palantir.com/docs/foundry/pb-functions-expression/arrayIntersectV1/,线索,"[""type_variable_bounds: T accepts AnyType"",""parse_warning: args_missing_but_heading_present""]"
arrayJoinV1,Join array,Joins array with specified separator.,"[""Array""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Array to join"",""type"":""Expression<Array<String>>"",""description"":""Array to join on""},{""name"":""Separator"",""type"":""Expression<String>"",""description"":""Separator to join array with""}]",String,https://palantir.com/docs/foundry/pb-functions-expression/arrayJoinV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
arrayMaxV1,Array maximum,Returns the maximum value of an array column.,"[""Array""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<Array<T>>"",""description"":""Array from which to return the maximum element""}]",T,https://palantir.com/docs/foundry/pb-functions-expression/arrayMaxV1/,线索,"[""type_variable_bounds: T accepts ComparableType"",""parse_warning: args_missing_but_heading_present""]"
arrayMinV1,Array minimum,Returns the minimum value of an array column.,"[""Array""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<Array<T>>"",""description"":""Array from which to return the minimum element""}]",T,https://palantir.com/docs/foundry/pb-functions-expression/arrayMinV1/,线索,"[""type_variable_bounds: T accepts ComparableType"",""parse_warning: args_missing_but_heading_present""]"
arrayPositionV1,Array position,Returns a position/index of the first occurrence of the 'value' in a given array. Returns null when value is...,"[""Array""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Array"",""type"":""Expression<Array<T>>"",""description"":""Array from which to return element's position""},{""name"":""Value"",""type"":""Expression<T>"",""description"":""Value for which to find position in the array""}]",Long,https://palantir.com/docs/foundry/pb-functions-expression/arrayPositionV1/,线索,"[""type_variable_bounds: T accepts AnyType"",""parse_warning: args_missing_but_heading_present""]"
arrayReverseV1,Array reverse,Reverse the order of elements in 'array'.,"[""Array""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<Array<T>>"",""description"":""Array to be reversed""}]",Array<T>,https://palantir.com/docs/foundry/pb-functions-expression/arrayReverseV1/,线索,"[""type_variable_bounds: T accepts AnyType"",""parse_warning: args_missing_but_heading_present""]"
